@RELATION bachelor

@ATTRIBUTE season numeric
@ATTRIBUTE name string
@ATTRIBUTE contestant_name string
@ATTRIBUTE age numeric
@ATTRIBUTE hometown numeric
@ATTRIBUTE occupation string
@ATTRIBUTE enliminated numeric
@ATTRIBUTE haircolor {Blonde,Brown,Red,Lightbrown,Black,Bald}
@ATTRIBUTE ethnicity {Caucasion,AfricanAmerican,Asian,Hispanic,European,}
@ATTRIBUTE limoordere numeric

@DATA
4,BobGuiney,Brooke,24,3,Teacher,20,Blonde,Caucasion,24
4,BobGuiney,Misty,23,3,RadioPromotionsAssistance,19,Blonde,Caucasion,2
4,BobGuiney,Jenny,30,3,MarketingDirector,18,Blonde,Caucasion,21
4,BobGuiney,Antoinete,30,4,SeniorAccountManager,17,Blonde,Caucasion,22
4,BobGuiney,Karin,32,2,MortgageConsultant,16,Black,AfricanAmerican,23
4,BobGuiney,Lindsay,23,1,ProfessionalDancer,15,Red,Caucasion,3
4,BobGuiney,Lindsay,25,3,PharmaceuticalSales,14,Blonde,Caucasion,14
4,BobGuiney,Lanah,27,3,EventsCoordination,13,Brown,Caucasion,19
4,BobGuiney,Kristi,24,2,LoanProcessor,12,Blonde,Caucasion,18
4,BobGuiney,Jenn,26,1,ElementarySchoolTeacher,11,Blonde,Caucasion,1
4,BobGuiney,Shea,25,3,Firefighter,10,Blonde,Caucasion,13
4,BobGuiney,Shelly,26,2,PharmaceuticalSales,9,Blonde,Caucasion,12
4,BobGuiney,Stacey,26,2,HairStylist,8,Blonde,Caucasion,10
4,BobGuiney,Heather,24,2,CollegeGraduate,7,Blonde,Caucasion,20
4,BobGuiney,Leona,25,2,RealtorsAssistance,6,Brown,Caucasion,8
4,BobGuiney,Samantha,25,2,KitchenDesigner,5,Black,Caucasion,9
4,BobGuiney,Julie,29,3,Sales/Modelling,4,Black,AfricanAmerican,5
4,BobGuiney,Christine,24,1,AdministrativeAssistance,3,Blonde,Caucasion,7
4,BobGuiney,Lauren,24,1,RetailBuyer,2,Blonde,Caucasion,16
4,BobGuiney,Darla,26,3,Attorney,1,Blonde,Caucasion,4
5,JessePalmer,JessicaBowlin,22,1,Student,25,Blonde,Caucasion,1
5,JessePalmer,Tara,23,3,Generalcontractor,24,Blonde,Caucasion,11
5,JessePalmer,MandyJ,26,3,Designerforanarchitectfirm,23,Blonde,Caucasion,21
5,JessePalmer,Trish,28,3,Model,22,Brown,Caucasion,25
5,JessePalmer,Karen,28,1,Pharmaceuticalsales,21,Brown,Caucasion,6
5,JessePalmer,Suzie,23,2,Prosthetictechnician,20,Blonde,Caucasion,3
5,JessePalmer,JenniS,26,3,Swiminstructor/nanny/personaltrainer,19,Blonde,Caucasion,13
5,JessePalmer,Julie,24,1,ProfessionalCheerleader,18,Brown,Caucasion,10
5,JessePalmer,JessieH,25,3,Attorney,17,Blonde,Caucasion,9
5,JessePalmer,Katie,22,1,LASIKEyeandSkinCentermanager,16,Brown,Caucasion,19
5,JessePalmer,Celeste,24,4,Model/executiveassistant,15,Black,AfricanAmerican,20
5,JessePalmer,JeanMarie,26,3,Hairstylist,14,Brown,Caucasion,2
5,JessePalmer,AnnCatherine,27,6,Model/make-upartist,13,Blonde,Caucasion,7
5,JessePalmer,Amber,27,1,Consultant,12,Blonde,Caucasion,14
5,JessePalmer,Mandy,25,1,Professionalsoccerplayer,11,Brown,Caucasion,15
5,JessePalmer,Kristy,25,2,Student,10,Blonde,Caucasion,18
5,JessePalmer,Francine,25,3,Retailmanager,9,Black,Asian,8
5,JessePalmer,Dolores,26,4,Accountmanager,8,Brown,Caucasion,4
5,JessePalmer,Debbie,27,3,Massagetherapist/bartender,7,Blonde,Caucasion,5
5,JessePalmer,DeShawn,25,4,Accountmanager/sales,6,Brown,AfricanAmerican,12
5,JessePalmer,Holly,26,3,Bankreprentative,5,Black,Asian,17
5,JessePalmer,JessicaK,21,2,Student,4,Blonde,Caucasion,16
5,JessePalmer,Rachel,26,4,Fashionpublicrelationsmanager,3,Blonde,Caucasion,22
5,JessePalmer,Kristin,25,1,Singer,2,Brown,Caucasion,23
5,JessePalmer,JenM,24,2,Retailmanager,1,Blonde,Caucasion,24
6,ByronVelvick,MaryDelgado,?,0,?,27,Brown,Caucasion,?
6,ByronVelvick,Tanya,31,3,Teacher,26,Blonde,Caucasion,15
6,ByronVelvick,Cynthia,37,1,CharityFound,25,Blonde,Caucasion,2
6,ByronVelvick,Cherese,31,2,Advertising,24,Brown,Caucasion,1
6,ByronVelvick,Jayne,37,3,DogGroomer,23,Brown,Caucasion,12
6,ByronVelvick,Andrea,33,1,DentalHygenist,22,Brown,Caucasion,9
6,ByronVelvick,Krysta,28,3,FinancialAnalyst,21,Blonde,Caucasion,13
6,ByronVelvick,Elizabeth,29,2,PharmaceuticalSales,20,Brown,Caucasion,25
6,ByronVelvick,Amanda,27,4,CosmeticBuyer,19,Brown,Caucasion,3
6,ByronVelvick,Suzie,32,1,InsuranceBroker,18,Brown,Caucasion,22
6,ByronVelvick,Kristie,32,6,RestaurantOwner,17,Brown,Caucasion,8
6,ByronVelvick,Natalie,34,1,Actress,16,Brown,Caucasion,20
6,ByronVelvick,Kellie,34,1,Model/Actress,15,Blonde,Caucasion,24
6,ByronVelvick,Liena,28,1,Advertising,14,Black,AfricanAmerican,14
6,ByronVelvick,Wende,28,3,RealEstateAgent,13,Red,Caucasion,6
6,ByronVelvick,Ashley,31,1,Teacher,12,Blonde,Caucasion,23
6,ByronVelvick,Alma,35,1,CafeOwner,11,Brown,Caucasion,16
6,ByronVelvick,Melinda,39,3,Photographer,10,Brown,Caucasion,21
6,ByronVelvick,Amy,27,3,MarketingConsult,9,Blonde,Caucasion,5
6,ByronVelvick,Abby,30,1,AcrobatDancer,8,Brown,Caucasion,19
6,ByronVelvick,Kristin,28,3,RealEstateAgent,7,Blonde,Caucasion,17
6,ByronVelvick,Carolyn,36,3,FinancialAdvisor,6,Brown,Caucasion,4
6,ByronVelvick,Lisa,33,3,Teacher,5,Blonde,Caucasion,7
6,ByronVelvick,Nicole,28,2,Recruiting,4,Blonde,Caucasion,10
6,ByronVelvick,Jennifer,31,1,AcountExecutive,3,Blonde,Caucasion,18
6,ByronVelvick,Kerry,31,1,TravelingNurse,2,Brown,Caucasion,11
6,ByronVelvick,Heather,26,1,MarriageTherapyTrainee,1,?,?,?
7,CharlieOConnel,SarahBrice,24,3,Labor/DeliveryNurse,25,Blonde,Caucasion,19
7,CharlieOConnel,Krisily,25,4,SalonCoordinator,24,Blonde,Caucasion,8
7,CharlieOConnel,SarahW,24,1,FashionDesigner,23,Blonde,Caucasion,13
7,CharlieOConnel,Kimberely,25,6,SwimsuitModel,22,Brown,Caucasion,7
7,CharlieOConnel,Kendal,23,3,BasketballCheerleader,21,Blonde,Caucasion,24
7,CharlieOConnel,Anitra,29,1,MakeupArtist,20,Brown,Caucasion,1
7,CharlieOConnel,Jenny,23,6,MarketCoordinator,19,Brown,Caucasion,3
7,CharlieOConnel,Kara,26,1,Nanny,18,Brown,Caucasion,20
7,CharlieOConnel,Carrie,27,2,ComputerSpecialist,17,Brown,Caucasion,2
7,CharlieOConnel,Kerry,32,2,Mergers/Accusits,16,Brown,Caucasion,21
7,CharlieOConnel,Gina,28,3,Bartender,15,Brown,Caucasion,17
7,CharlieOConnel,Megan,23,3,RetailMarketing,14,Brown,Caucasion,22
7,CharlieOConnel,Valerie,28,4,ExecutiveAssistant,13,Blonde,Caucasion,18
7,CharlieOConnel,Siomara,25,2,LoanOfficer,12,Brown,Asian,10
7,CharlieOConnel,Katie,25,1,ResortAccountant,11,Brown,Caucasion,16
7,CharlieOConnel,Kristine,23,3,BikiniModel,10,Black,European,14
7,CharlieOConnel,Geitan,30,3,Realtor,9,Brown,Caucasion,15
7,CharlieOConnel,Kristen,30,4,Teacher,8,Blonde,Caucasion,4
7,CharlieOConnel,Danuska,30,1,RunwayModel,7,Blonde,Caucasion,25
7,CharlieOConnel,Debby,25,6,FlightAttendant,6,Black,European,12
7,CharlieOConnel,Emilie,24,2,TechnologySales,5,Brown,Caucasion,11
7,CharlieOConnel,Kyshawn,30,3,Bartended,4,Black,AfricanAmerican,9
7,CharlieOConnel,Heather,24,3,Contractor,3,Brown,Caucasion,23
7,CharlieOConnel,Kristina,27,4,Writer,2,Black,Asian,6
7,CharlieOConnel,Brenda,26,4,SalesCoordinator,1,Black,Caucasion,5
8,TravisLaneStork,SarahStone,26,3,KindergartenTeacher,25,Red,Caucasion,16
8,TravisLaneStork,Moana,26,1,DistributionManager,24,Black,Hispanic,10
8,TravisLaneStork,Susan,25,2,FinancialAssociate,23,Brown,Caucasion,1
8,TravisLaneStork,SarahB,23,6,Student,22,Blonde,Caucasion,25
8,TravisLaneStork,Tara,23,1,Student,21,Red,Caucasion,8
8,TravisLaneStork,Jehan,25,2,VitaminSalesRep,20,Blonde,Caucasion,5
8,TravisLaneStork,Shiloh,29,1,AdvertisingManager,19,Blonde,Caucasion,21
8,TravisLaneStork,Jennifer,25,4,Model,18,Blonde,Caucasion,7
8,TravisLaneStork,Cole,26,1,SalesExecutive,17,Brown,Caucasion,11
8,TravisLaneStork,Elizabeth,24,4,SocialWorker,16,Blonde,Caucasion,19
8,TravisLaneStork,Kristen,25,3,MarketingDirector,15,Blonde,Caucasion,6
8,TravisLaneStork,Yvonne,28,3,MarketingFirmCEO,14,Brown,Caucasion,20
8,TravisLaneStork,Stephanie,25,1,PublicRelationsDirector,13,Red,Caucasion,23
8,TravisLaneStork,SaraH,24,2,MarketingManager,12,Blonde,Caucasion,12
8,TravisLaneStork,Venus,33,1,Physician,11,Black,Hispanic,9
8,TravisLaneStork,Jamie,29,3,PhysicianRecruiter,10,Blonde,Caucasion,18
8,TravisLaneStork,Courtney,28,1,LawClerk,9,Blonde,Caucasion,2
8,TravisLaneStork,Ali,26,1,NBADancer,8,Blonde,Caucasion,22
8,TravisLaneStork,Allie,33,3,Doctor,7,Brown,Caucasion,24
8,TravisLaneStork,April,29,3,CorporateRealEstate,6,Blonde,Caucasion,4
8,TravisLaneStork,Kathy,29,1,GradStudent,5,Red,Hispanic,17
8,TravisLaneStork,Kyle,25,1,SeniorCopyWriter,4,Blonde,Caucasion,3
8,TravisLaneStork,LisaF,24,2,ITRecruiter,3,Brown,Caucasion,13
8,TravisLaneStork,Liza,23,2,TradeClerk,2,Blonde,Caucasion,15
8,TravisLaneStork,Princess,26,1,SubstituteTeacher,1,Black,AfricanAmerican,14
9,LorenzoBorges,JenniferWilson,24,3,Teacher,27,Blonde,Caucasion,16
9,LorenzoBorges,Sadie,23,1,Publicist,26,Blonde,Caucasion,10
9,LorenzoBorges,Lisa,25,1,Marketingmanager,25,Brown,Caucasion,1
9,LorenzoBorges,AgnesePolliza,24,5,Student,24,Brown,European,25
9,LorenzoBorges,Desiree,22,1,Realtor,23,Blonde,Caucasion,27
9,LorenzoBorges,Jeannette,23,2,Teacher,22,Brown,Caucasion,5
9,LorenzoBorges,EricaRose,23,3,Socialite,21,Blonde,Caucasion,21
9,LorenzoBorges,Gina,28,2,Ultrasoundtechnician,20,Brown,Caucasion,7
9,LorenzoBorges,Jami,27,3,Eventplanner,19,Blonde,Caucasion,11
9,LorenzoBorges,Ellen,30,4,Realtor,18,Blonde,Caucasion,19
9,LorenzoBorges,Kim,27,1,Interiordesigner,17,Blonde,Caucasion,6
9,LorenzoBorges,Sarah,30,6,Journalist,16,Blonde,Caucasion,20
9,LorenzoBorges,Andrea,28,2,Hotelconcierge,15,Brown,Caucasion,23
9,LorenzoBorges,April,23,2,Model,14,Brown,Caucasion,12
9,LorenzoBorges,Britt,28,2,Beerchemist,13,Blonde,Caucasion,9
9,LorenzoBorges,Carissa,25,4,Attorney,12,Blonde,Caucasion,18
9,LorenzoBorges,Claudia,22,3,Restaurateur,11,Brown,Caucasion,2
9,LorenzoBorges,Coseta,26,5,Dancer,10,Brown,Hispanic,22
9,LorenzoBorges,Elyse,27,4,Physician,9,Blonde,Caucasion,24
9,LorenzoBorges,Heather,34,4,Registerednurse,8,Blonde,Caucasion,4
9,LorenzoBorges,Jessica,25,3,Assistantbuyer,7,Brown,Caucasion,17
9,LorenzoBorges,Laura,29,1,Dolphintrainer,6,Blonde,Caucasion,26
9,LorenzoBorges,Meri,27,3,Attorney,5,Brown,Caucasion,13
9,LorenzoBorges,Renee,30,3,Broadcastmarketer,4,Blonde,Caucasion,15
9,LorenzoBorges,Rita,29,3,Policyadvisor,3,Brown,Caucasion,14
9,LorenzoBorges,Rosella,27,2,Make-upartist,2,Brown,Caucasion,3
9,LorenzoBorges,Tara,24,3,Realtor,1,Blonde,Caucasion,8
10,AndrewBaldwin,TessaHorst,26,1,SocialWorker,25,Brown,Asian,4
10,AndrewBaldwin,Bevin,28,1,Assistant,24,Blonde,Caucasion,5
10,AndrewBaldwin,DanielleI,25,4,GraphicDesigner,23,Blonde,Caucasion,1
10,AndrewBaldwin,Amber,23,3,Teacher,22,Brown,Caucasion,6
10,AndrewBaldwin,StephanieW,23,2,ProjectManager,21,Blonde,Caucasion,10
10,AndrewBaldwin,Tina,26,1,Medicalstudent,20,Black,Asian,12
10,AndrewBaldwin,Kate,24,3,Boutiqueowner,19,Blonde,Caucasion,25
10,AndrewBaldwin,Nicole,26,3,SalesManager,18,Black,Caucasion,18
10,AndrewBaldwin,StephanieT,27,3,Organdonorcoordinator,17,Red,Caucasion,8
10,AndrewBaldwin,Amanda,26,3,Financialanalyst,16,Brown,Hispanic,9
10,AndrewBaldwin,Erin,24,3,Financialanalyst,15,Blonde,Caucasion,3
10,AndrewBaldwin,Peyton,24,3,Sororityrecruiter,14,Blonde,Caucasion,11
10,AndrewBaldwin,Susan,26,3,Attorney,13,Blonde,Caucasion,13
10,AndrewBaldwin,TiffanyW,23,3,Boutiquemanager,12,Blonde,Caucasion,14
10,AndrewBaldwin,Alexis,28,4,Medicalequipmentsalesrep,11,Brown,Caucasion,22
10,AndrewBaldwin,Blakeney,29,3,Radiosales,10,Blonde,Caucasion,2
10,AndrewBaldwin,Candace,23,3,Waitress,9,Blonde,Caucasion,15
10,AndrewBaldwin,Catherine,23,2,FormerMissIllinois,8,Blonde,Caucasion,16
10,AndrewBaldwin,DanielleV,26,4,Attorney,7,Brown,Caucasion,17
10,AndrewBaldwin,Jackie,23,2,Executivecoordinator,6,Brown,Caucasion,19
10,AndrewBaldwin,Jeanette,27,3,Healthcaremanager,5,Brown,Caucasion,20
10,AndrewBaldwin,Jessica,32,4,Hedgefundanalyst,4,Blonde,Caucasion,21
10,AndrewBaldwin,Linda,33,2,Attorney,3,Brown,Caucasion,23
10,AndrewBaldwin,Lindsay,22,2,Student,2,Brown,AfricanAmerican,24
10,AndrewBaldwin,TiffanyF,27,2,Realestatesales/development,1,Blonde,Caucasion,7
11,BradWomack,DeAnnaPappas,25,3,Realtor,25,Brown,Hispanic,3
11,BradWomack,Jenny,27,2,PhoenixSunsCheerleader,24,Brown,Caucasion,16
11,BradWomack,Bettina,27,1,Realtor,23,Blonde,Caucasion,20
11,BradWomack,Sheena,23,1,Internetmarketingexecutive,22,Blonde,Caucasion,6
11,BradWomack,Hillary,27,4,Registerednurse,21,Blonde,Caucasion,11
11,BradWomack,Kristy,29,2,Acupuncturist,20,Brown,Caucasion,1
11,BradWomack,McCarten,26,3,Executiveassistant,19,Brown,Hispanic,7
11,BradWomack,Estafania,24,3,Boutiquesalesworker,18,Brown,Caucasion,15
11,BradWomack,Jade,26,1,Accountmanager,17,Blonde,Caucasion,25
11,BradWomack,Lindsay,25,2,Model,16,Brown,Caucasion,17
11,BradWomack,Sarah,23,2,Barmanager,15,Brown,AfricanAmerican,2
11,BradWomack,Solisa,25,3,Esthetician,14,Blonde,Hispanic,5
11,BradWomack,Michelle,25,3,Publishingsalesexecutive,13,Blonde,Caucasion,10
11,BradWomack,Mallory,24,1,Nanny,12,Blonde,Caucasion,13
11,BradWomack,Erin,30,4,Realtor,11,Blonde,Caucasion,4
11,BradWomack,Susan,27,3,Newsanchor,10,Brown,Caucasion,24
11,BradWomack,Regina,24,2,Lawstudent,9,Black,AfricanAmerican,21
11,BradWomack,Jessica,31,4,Realtor,8,Blonde,Caucasion,22
11,BradWomack,Juli,33,3,Biologyteacher,7,Blonde,Caucasion,9
11,BradWomack,Kim,28,4,Eventplanner,6,Blonde,Caucasion,23
11,BradWomack,Lori,24,1,Graduatestudent,5,Blonde,Caucasion,18
11,BradWomack,Melissa,25,3,Lawstudent,4,Blonde,Caucasion,19
11,BradWomack,Morgan,31,1,Accountrepresentative,3,Brown,Caucasion,14
11,BradWomack,Natalie,35,2,Projectanalyst,2,Brown,Caucasion,8
11,BradWomack,Tauni,31,2,Emergencyroomnurse,1,Brown,Caucasion,12
12,MattGrant,ShayneLamas,22,1,Actress,25,Blonde,Caucasion,15
12,MattGrant,Chelsea,25,1,Pharmaceuticalsalesrep,24,Blonde,Caucasion,5
12,MattGrant,AmandaR,27,3,AccountExecutive,23,Brown,Caucasion,1
12,MattGrant,Noelle,26,1,Photographer,22,Brown,Caucasion,25
12,MattGrant,Marshana,27,4,Fashiondesigner,21,Black,AfricanAmerican,16
12,MattGrant,Robin,22,2,Advertisingcoordinator,20,Brown,Caucasion,11
12,MattGrant,Ashlee,22,3,Singer-songwriter,19,Blonde,Caucasion,12
12,MattGrant,Holly,25,1,Medicalsalesrep,18,Blonde,Caucasion,19
12,MattGrant,Kelly,24,2,Childrensbookauthor,17,Blonde,Caucasion,7
12,MattGrant,AmyR,33,1,Hot-dogvendor,16,Blonde,Caucasion,2
12,MattGrant,ErinS,22,1,Nanny,15,Blonde,Caucasion,10
12,MattGrant,Kristine,33,4,Personaltrainer,14,Blonde,Caucasion,4
12,MattGrant,Carri,28,4,Administrativeassistant,13,Blonde,Caucasion,21
12,MattGrant,ErinH,25,3,Churchmarketingrep,12,Black,Hispanic,6
12,MattGrant,MichelleP,25,1,Eventplanner,11,Red,Caucasion,14
12,MattGrant,Alyssa,24,1,Biologystudent,10,Blonde,Caucasion,13
12,MattGrant,AmandaP,26,3,Lawstudent,9,Blonde,Caucasion,17
12,MattGrant,Denise,30,1,AttorneyandformerWhiteHouseaide,8,Brown,Hispanic,9
12,MattGrant,Devon,24,3,Makeupartist,7,Blonde,Caucasion,3
12,MattGrant,Lesley,23,3,Youthminister,6,Brown,Caucasion,23
12,MattGrant,MichelleR,33,1,Interiordesigner,5,Brown,Caucasion,24
12,MattGrant,Rebecca,30,1,Attorney,4,Brown,Hispanic,8
12,MattGrant,Stacey,26,2,Graduatestudent,3,Blonde,Caucasion,22
12,MattGrant,Tamara,23,1,Cocktailwaitress,2,Brown,Caucasion,18
12,MattGrant,Tiffany,33,1,Realestatemarketingrep,1,Brown,Caucasion,20
13,JasonMesnick,MelissaRycroft,25,3,SalesRepresentative,25,Brown,Hispanic,3
13,JasonMesnick,Molly,23,2,DepartmentStoreBuyer,24,Blonde,Caucasion,16
13,JasonMesnick,JillianHarris,29,6,InteriorDesigner,23,Brown,Caucasion,20
13,JasonMesnick,Naomi,24,1,FlightAttendant,22,Brown,Hispanic,6
13,JasonMesnick,Stephanie,34,3,SingleMother&MedicalMarketingRep,21,Brown,Hispanic,11
13,JasonMesnick,Lauren,27,4,Teacher,20,Blonde,Caucasion,1
13,JasonMesnick,Megan,25,4,SingleMotherandLacrosseCoach,19,Brown,Caucasion,7
13,JasonMesnick,Nikki,29,2,AdministrativeAssistant,18,Black,Hispanic,15
13,JasonMesnick,Shannon,29,2,DentalHygienist,17,Brown,Caucasion,25
13,JasonMesnick,Erica,25,4,AccountExecutive,16,Blonde,Caucasion,17
13,JasonMesnick,Karri,27,2,AccountExecutive,15,Brown,Caucasion,2
13,JasonMesnick,Natalie,27,2,HumanResourcesRecruiter,14,Blonde,Caucasion,5
13,JasonMesnick,Lisa,28,1,PublicRelationsAssociate,13,Brown,Hispanic,10
13,JasonMesnick,Raquel,27,7,MedicalStudent,12,Brown,Hispanic,13
13,JasonMesnick,Sharon,32,4,Teacher,11,Blonde,Caucasion,4
13,JasonMesnick,Ann,24,1,FlightAttendant,10,Brown,Hispanic,24
13,JasonMesnick,Dominique,26,4,MedicalSalesRep,9,Blonde,Caucasion,21
13,JasonMesnick,Emily,23,1,CasinoMarketingRep,8,Blonde,Caucasion,22
13,JasonMesnick,Jackie,26,4,WeddingCoordinator,7,Red,Caucasion,9
13,JasonMesnick,Julie,26,2,Teacher,6,Brown,Hispanic,23
13,JasonMesnick,Nicole,25,6,MenswearBuyer,5,Brown,Hispanic,18
13,JasonMesnick,Renee,36,2,JewelryDesigner,4,Brown,Caucasion,19
13,JasonMesnick,Shelby,23,1,AccountExecutive,3,Blonde,Caucasion,14
13,JasonMesnick,Stacia,24,1,SingleMother&CharityAccountant,2,Brown,Hispanic,8
13,JasonMesnick,Treasure,28,1,SingleMotherandNursePractitioner,1,Brown,Caucasion,12
14,JakePavelka,ViennaGirardi,23,3,MarketingRepresentative,25,Blonde,Caucasion,11
14,BradWomack,Chantal,28,1,ExecutiveAssistant,29,Black,Caucasion,1
14,JakePavelka,Tenley,25,1,CollegeAdmissions,24,Blonde,Caucasion,5
14,JakePavelka,Gia,26,4,SwimsuitModel,23,Red,Caucasion,15
14,JakePavelka,AliFedotowsky,25,4,AdvertisingAccountManager,22,Blonde,Caucasion,3
14,JakePavelka,Corrie,23,3,WardrobeConsultant,21,Blonde,Caucasion,12
14,JakePavelka,Ashleigh,25,3,AccountManager,20,Blonde,Caucasion,21
14,JakePavelka,Ella,25,6,CosmeticSalesManager,19,Red,Caucasion,6
14,JakePavelka,Jessie,25,3,CorporateFlightAttendant,18,Black,European,4
14,JakePavelka,Kathryn,30,3,HairStylist,17,Blonde,Caucasion,7
14,JakePavelka,ElizabethK,29,2,Nanny,16,Black,Caucasion,16
14,JakePavelka,Michelle,32,1,Homemaker,15,Brown,Caucasion,25
14,JakePavelka,Valisha,26,1,OfficeManager,14,Black,Asian,14
14,JakePavelka,AshleyE,29,4,Teacher,13,Black,Caucasion,18
14,JakePavelka,Christina,25,1,RestaurantManager,12,Blonde,Caucasion,20
14,JakePavelka,Rosalyn,28,3,Model/Make-UpArtist,11,Blonde,Caucasion,1
14,JakePavelka,Alexa,25,2,Entrepreneur,10,Blonde,Caucasion,10
14,JakePavelka,Caitlyn,24,2,Spokesmodel,9,Red,Caucasion,8
14,JakePavelka,Channy,29,1,MortgageLoanOfficer,8,Black,Asian,17
14,JakePavelka,Elizabeth,29,3,Captain_AirNationalGuard,7,Brown,Caucasion,9
14,JakePavelka,Emily,23,2,FitnessModel,6,Brown,Caucasion,2
14,JakePavelka,Kimberly,24,3,NBADancer,5,Brown,Caucasion,13
14,JakePavelka,Kirsten,25,1,Waitress,4,Blonde,Caucasion,22
14,JakePavelka,Sheila,25,1,CommercialPilot,3,Blonde,Caucasion,24
14,JakePavelka,Stephanie,24,2,DanceTeacher,2,Black,Caucasion,23
14,JakePavelka,Tiana,31,6,MedicalTechnician,1,Blonde,Caucasion,19
15,BradWomack,EmilyMaynard,25,3,ChildrensHospitalEventPlanner,30,Blonde,Caucasion,28
15,BradWomack,AshleyHebert,26,4,DentalStudent,28,Brown,Caucasion,8
15,BradWomack,Shawntel,25,1,FuneralDirector,27,Brown,Caucasion,19
15,BradWomack,Michelle,30,1,Hairstylist,26,Brown,Caucasion,30
15,BradWomack,Britt,25,1,Foodwriter,25,Blonde,Caucasion,29
15,BradWomack,Jackie,26,4,Artist,24,Brown,Caucasion,14
15,BradWomack,Alli,24,2,Apparelmerchant,23,Black,Hispanic,3
15,BradWomack,AshleyS,26,3,Nanny,22,Blonde,Caucasion,4
15,BradWomack,Lisa,24,2,MarketingCoodinator,21,Brown,Caucasion,23
15,BradWomack,Marissa,26,1,SportsPublicist,20,Black,Hispanic,6
15,BradWomack,Lindsay,25,3,Firstgradeteacher,19,Red,Caucasion,7
15,BradWomack,Meghan,30,4,FashionMarketer,18,Brown,Caucasion,5
15,BradWomack,Stacie,26,4,Bartender,17,Brown,Caucasion,21
15,BradWomack,Kimberley,27,3,MarketingCoordinator,16,Blonde,Caucasion,2
15,BradWomack,Madison,25,1,Model,15,Blonde,Caucasion,10
15,BradWomack,SarahP,27,1,RealEstateBroker,14,Blonde,Caucasion,15
15,BradWomack,Keltie,28,6,RadioCityRockette,13,Brown,Caucasion,26
15,BradWomack,Melissa,32,4,Waitress,12,Blonde,Caucasion,11
15,BradWomack,Rachel,29,1,Manscaper,11,Black,Hispanic,9
15,BradWomack,Britnee,25,4,Paralegal,10,Brown,Caucasion,20
15,BradWomack,Christy,30,3,Attorney,9,Blonde,Caucasion,13
15,BradWomack,JessicaJ,26,1,OperationsManager,8,Black,Caucasion,25
15,BradWomack,Jill,28,3,Salesdirector,7,Black,Caucasion,22
15,BradWomack,Lacey,27,3,Insuranceagent,6,Blonde,Caucasion,16
15,BradWomack,Lauren,26,3,HighSchoolTeacher,5,Blonde,Caucasion,17
15,BradWomack,LisaP,27,4,SalesConsultant,4,Blonde,Caucasion,18
15,BradWomack,Rebecca,30,1,Esthetician,3,Brown,Caucasion,24
15,BradWomack,Renee,28,2,Nanny,2,Brown,Caucasion,12
15,BradWomack,SarahL,25,2,MusicalTheatrePerformer,1,Brown,Caucasion,27
16,BenFlajnik,CourtneyRoberston,28,1,Model,25,Black,Hispanic,6
16,BenFlajnik,LindziC,27,1,Businessdevelopmentmanager,24,Blonde,Caucasion,25
16,BenFlajnik,Nicki,26,3,Dentalhygienist,23,Brown,Caucasion,15
16,BenFlajnik,Kacie,24,3,Administrativeassistant,22,Red,Caucasion,23
16,BenFlajnik,Emily,27,3,PhDStudent,21,Blonde,Caucasion,7
16,BenFlajnik,Rachel,27,4,Fashionsalesrepresentative,20,Blonde,Caucasion,1
16,BenFlajnik,Blakely,33,3,VIPcocktailwaitress,19,Red,Hispanic,13
16,BenFlajnik,Casey,26,2,Tradingclerk,18,Blonde,Caucasion,8
16,BenFlajnik,Jamie,25,4,Registerednurse,17,Brown,Caucasion,11
16,BenFlajnik,Elyse,24,2,Personaltrainer,16,Black,Hispanic,4
16,BenFlajnik,Jennifer,28,3,Accountant,15,Red,Caucasion,17
16,BenFlajnik,Monica,33,1,Dentalconsultant,14,Blonde,Caucasion,20
16,BenFlajnik,Samantha,26,4,Advertisingaccountmanager,13,Blonde,Caucasion,24
16,BenFlajnik,Brittney,26,1,Medicalsalesrepresentative,12,Blonde,Caucasion,14
16,BenFlajnik,Erika,23,3,Lawstudent,11,Brown,Caucasion,2
16,BenFlajnik,Jaclyn,27,4,Advertisingaccountmanager,10,Blonde,Caucasion,21
16,BenFlajnik,Shawn,27,2,Blogger,9,Blonde,Caucasion,23
16,BenFlajnik,Jenna,28,2,Financialadvisor,8,Brown,Caucasion,5
16,BenFlajnik,Shawn,23,6,Laboranddeliverynurse,7,Brown,Caucasion,13
16,BenFlajnik,AmberB,28,2,Criticalcarenurse,6,Brown,Caucasion,3
16,BenFlajnik,AmberT,25,2,Student,5,Brown,Caucasion,9
16,BenFlajnik,Anna,30,1,Nonprofitdirector,4,Blonde,Caucasion,19
16,BenFlajnik,Dianna,34,3,Pharmaceuticalsalesrepresentative,3,Brown,Hispanic,16
16,BenFlajnik,Holly,29,5,Internetentrepreneur,2,Blonde,Caucasion,10
16,BenFlajnik,LyndsieJ,35,4,Actress,1,Blonde,Caucasion,18
17,SeanLowe,CatherineGiudici,26,1,GraphicDesigner,26,Black,Asian,10
17,SeanLowe,Lindsay,24,3,SubstituteTeacher,25,Brown,Caucasion,25
17,SeanLowe,AshLeeF,32,3,PersonalOrganizer,24,Brown,Caucasion,1
17,SeanLowe,DesireeHartsock,26,1,BridalStylist,23,Black,Caucasion,17
